SubjID,SubjAge,SubjGender,SubjEnglish,List,Task,Name,Pronoun,Pet,Job,M_Type,M_Response,M_Acc,P_Response,P_Pronoun,P_Acc,I_Response
1A_001,18,female,native (learned from birth),2,memory,Brian,he/him,cat,uber,job,Uber driver,0,,,,
1A_001,18,female,native (learned from birth),2,memory,Brian,he/him,cat,uber,pet,cat,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Brian,he/him,cat,uber,pronoun,he/him,1,,,,
1A_001,18,female,native (learned from birth),2,production,Brian,he/him,cat,uber,,,,he parked his car.,he/him,1,
1A_001,18,female,native (learned from birth),2,memory,Kevin,he/him,dog,food service,job,food service,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Kevin,he/him,dog,food service,pet,dog,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Kevin,he/him,dog,food service,pronoun,they/them,0,,,,
1A_001,18,female,native (learned from birth),2,production,Kevin,he/him,dog,food service,,,,he took a break. ,he/him,1,
1A_001,18,female,native (learned from birth),2,memory,Daniel,they/them,fish,retail,job,retail,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Daniel,they/them,fish,retail,pet,fish,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Daniel,they/them,fish,retail,pronoun,they/them,1,,,,
1A_001,18,female,native (learned from birth),2,production,Daniel,they/them,fish,retail,,,,he made his dinner.,he/him,0,
1A_001,18,female,native (learned from birth),2,memory,Laura,they/them,dog,accountant,job,accountant,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Laura,they/them,dog,accountant,pet,dog,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Laura,they/them,dog,accountant,pronoun,they/them,1,,,,
1A_001,18,female,native (learned from birth),2,production,Laura,they/them,dog,accountant,,,,she made chicken. ,she/her,0,
1A_001,18,female,native (learned from birth),2,memory,Melissa,she/her,cat,doctor,job,teacher,0,,,,
1A_001,18,female,native (learned from birth),2,memory,Melissa,she/her,cat,doctor,pet,fish,0,,,,
1A_001,18,female,native (learned from birth),2,memory,Melissa,she/her,cat,doctor,pronoun,she/her,1,,,,
1A_001,18,female,native (learned from birth),2,production,Melissa,she/her,cat,doctor,,,,she went to bed.,she/her,1,
1A_001,18,female,native (learned from birth),2,memory,Stephanie,she/her,dog,sales,job,sales,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Stephanie,she/her,dog,sales,pet,dog,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Stephanie,she/her,dog,sales,pronoun,she/her,1,,,,
1A_001,18,female,native (learned from birth),2,production,Stephanie,she/her,dog,sales,,,,she pet her dog.,she/her,1,
1A_001,18,female,native (learned from birth),2,memory,Andrew,he/him,fish,engineer,job,engineer,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Andrew,he/him,fish,engineer,pet,fish,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Andrew,he/him,fish,engineer,pronoun,he/him,1,,,,
1A_001,18,female,native (learned from birth),2,production,Andrew,he/him,fish,engineer,,,,he went out for dinner. ,he/him,1,
1A_001,18,female,native (learned from birth),2,memory,Emily,she/her,fish,nurse,job,nurse,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Emily,she/her,fish,nurse,pet,cat,0,,,,
1A_001,18,female,native (learned from birth),2,memory,Emily,she/her,fish,nurse,pronoun,she/her,1,,,,
1A_001,18,female,native (learned from birth),2,production,Emily,she/her,fish,nurse,,,,she took off her uniform. ,she/her,1,
1A_001,18,female,native (learned from birth),2,introduction,Emily,she/her,fish,nurse,,,,,,,Emily works as a nurse and she has a fish.
1A_001,18,female,native (learned from birth),2,memory,Amanda,she/her,dog,IT,job,IT,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Amanda,she/her,dog,IT,pet,dog,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Amanda,she/her,dog,IT,pronoun,she/her,1,,,,
1A_001,18,female,native (learned from birth),2,production,Amanda,she/her,dog,IT,,,,she pet her dog. ,she/her,1,
1A_001,18,female,native (learned from birth),2,memory,Michael,he/him,fish,mechanic,job,mechanic,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Michael,he/him,fish,mechanic,pet,cat,0,,,,
1A_001,18,female,native (learned from birth),2,memory,Michael,he/him,fish,mechanic,pronoun,he/him,1,,,,
1A_001,18,female,native (learned from birth),2,production,Michael,he/him,fish,mechanic,,,,he changed into his pajamas. ,he/him,1,
1A_001,18,female,native (learned from birth),2,introduction,Michael,he/him,fish,mechanic,,,,,,,Michael us a mechanic and he has a fish. 
1A_001,18,female,native (learned from birth),2,memory,James,they/them,cat,janitor,job,janitor,1,,,,
1A_001,18,female,native (learned from birth),2,memory,James,they/them,cat,janitor,pet,cat,1,,,,
1A_001,18,female,native (learned from birth),2,memory,James,they/them,cat,janitor,pronoun,they/them,1,,,,
1A_001,18,female,native (learned from birth),2,production,James,they/them,cat,janitor,,,,he played with his spit. ,he/him,0,
1A_001,18,female,native (learned from birth),2,memory,Jessica,they/them,cat,teacher,job,teacher,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Jessica,they/them,cat,teacher,pet,cat,1,,,,
1A_001,18,female,native (learned from birth),2,memory,Jessica,they/them,cat,teacher,pronoun,they/them,1,,,,
1A_001,18,female,native (learned from birth),2,production,Jessica,they/them,cat,teacher,,,,she made chicken. ,she/her,0,
1A_001,18,female,native (learned from birth),2,introduction,Jessica,they/them,cat,teacher,,,,,,,Jessica is a teacher and they have a cat.
1A_002,19,female,native (learned from birth),3,memory,Brian,they/them,dog,mechanic,job,sales,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Brian,they/them,dog,mechanic,pet,dog,1,,,,
1A_002,19,female,native (learned from birth),3,memory,Brian,they/them,dog,mechanic,pronoun,they/them,1,,,,
1A_002,19,female,native (learned from birth),3,production,Brian,they/them,dog,mechanic,,,,They watched TV.,they/them,1,
1A_002,19,female,native (learned from birth),3,introduction,Brian,they/them,dog,mechanic,,,,,,,This is my friend Brian.
1A_002,19,female,native (learned from birth),3,memory,Kevin,he/him,fish,doctor,job,IT,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Kevin,he/him,fish,doctor,pet,fish,1,,,,
1A_002,19,female,native (learned from birth),3,memory,Kevin,he/him,fish,doctor,pronoun,he/him,1,,,,
1A_002,19,female,native (learned from birth),3,production,Kevin,he/him,fish,doctor,,,,He ate dinner.,he/him,1,
1A_002,19,female,native (learned from birth),3,introduction,Kevin,he/him,fish,doctor,,,,,,,Kevin is a doctor. He is great!
1A_002,19,female,native (learned from birth),3,memory,Daniel,he/him,cat,IT,job,food service,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Daniel,he/him,cat,IT,pet,dog,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Daniel,he/him,cat,IT,pronoun,he/him,1,,,,
1A_002,19,female,native (learned from birth),3,production,Daniel,he/him,cat,IT,,,,He ate dinner.,he/him,1,
1A_002,19,female,native (learned from birth),3,memory,Laura,she/her,cat,accountant,job,retail,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Laura,she/her,cat,accountant,pet,fish,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Laura,she/her,cat,accountant,pronoun,she/her,1,,,,
1A_002,19,female,native (learned from birth),3,production,Laura,she/her,cat,accountant,,,,She watched the news.,she/her,1,
1A_002,19,female,native (learned from birth),3,memory,Melissa,she/her,dog,retail,job,engineer,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Melissa,she/her,dog,retail,pet,cat,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Melissa,she/her,dog,retail,pronoun,she/her,1,,,,
1A_002,19,female,native (learned from birth),3,production,Melissa,she/her,dog,retail,,,,She took a nap.,she/her,1,
1A_002,19,female,native (learned from birth),3,memory,Stephanie,she/her,fish,janitor,job,accountant,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Stephanie,she/her,fish,janitor,pet,dog,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Stephanie,she/her,fish,janitor,pronoun,they/them,0,,,,
1A_002,19,female,native (learned from birth),3,production,Stephanie,she/her,fish,janitor,,,,She watched TV.,she/her,1,
1A_002,19,female,native (learned from birth),3,introduction,Stephanie,she/her,fish,janitor,,,,,,,Stephanie is a janitor. She is very nice!
1A_002,19,female,native (learned from birth),3,memory,Andrew,they/them,cat,food service,job,doctor,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Andrew,they/them,cat,food service,pet,fish,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Andrew,they/them,cat,food service,pronoun,he/him,0,,,,
1A_002,19,female,native (learned from birth),3,production,Andrew,they/them,cat,food service,,,,he made dinner.,he/him,0,
1A_002,19,female,native (learned from birth),3,memory,Emily,they/them,fish,uber,job,Uber driver,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Emily,they/them,fish,uber,pet,fish,1,,,,
1A_002,19,female,native (learned from birth),3,memory,Emily,they/them,fish,uber,pronoun,they/them,1,,,,
1A_002,19,female,native (learned from birth),3,production,Emily,they/them,fish,uber,,,,They went to bed.,they/them,1,
1A_002,19,female,native (learned from birth),3,memory,Amanda,they/them,dog,engineer,job,janitor,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Amanda,they/them,dog,engineer,pet,fish,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Amanda,they/them,dog,engineer,pronoun,they/them,1,,,,
1A_002,19,female,native (learned from birth),3,production,Amanda,they/them,dog,engineer,,,,They watched the news.,they/them,1,
1A_002,19,female,native (learned from birth),3,memory,Michael,he/him,cat,sales,job,engineer,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Michael,he/him,cat,sales,pet,dog,0,,,,
1A_002,19,female,native (learned from birth),3,memory,Michael,he/him,cat,sales,pronoun,he/him,1,,,,
1A_002,19,female,native (learned from birth),3,production,Michael,he/him,cat,sales,,,,He ate dinner.,he/him,1,
1A_002,19,female,native (learned from birth),3,memory,James,he/him,dog,nurse,job,nurse,1,,,,
1A_002,19,female,native (learned from birth),3,memory,James,he/him,dog,nurse,pet,dog,1,,,,
1A_002,19,female,native (learned from birth),3,memory,James,he/him,dog,nurse,pronoun,he/him,1,,,,
1A_002,19,female,native (learned from birth),3,production,James,he/him,dog,nurse,,,,He made dinner.,he/him,1,
1A_002,19,female,native (learned from birth),3,memory,Jessica,she/her,fish,teacher,job,teacher,1,,,,
1A_002,19,female,native (learned from birth),3,memory,Jessica,she/her,fish,teacher,pet,fish,1,,,,
1A_002,19,female,native (learned from birth),3,memory,Jessica,she/her,fish,teacher,pronoun,she/her,1,,,,
1A_002,19,female,native (learned from birth),3,production,Jessica,she/her,fish,teacher,,,,She graded papers.,she/her,1,
1A_003,19,female,native (learned from birth),1,memory,Brian,he/him,fish,accountant,job,accountant,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Brian,he/him,fish,accountant,pet,dog,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Brian,he/him,fish,accountant,pronoun,he/him,1,,,,
1A_003,19,female,native (learned from birth),1,production,Brian,he/him,fish,accountant,,,,he prepared dinner for himself and his spouse.,he/him,1,
1A_003,19,female,native (learned from birth),1,memory,Kevin,they/them,dog,doctor,job,doctor,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Kevin,they/them,dog,doctor,pet,dog,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Kevin,they/them,dog,doctor,pronoun,they/them,1,,,,
1A_003,19,female,native (learned from birth),1,production,Kevin,they/them,dog,doctor,,,,They told their spouse all about the patients they had seen throughout the work day.,they/them,1,
1A_003,19,female,native (learned from birth),1,memory,Daniel,he/him,cat,retail,job,retail,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Daniel,he/him,cat,retail,pet,dog,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Daniel,he/him,cat,retail,pronoun,he/him,1,,,,
1A_003,19,female,native (learned from birth),1,production,Daniel,he/him,cat,retail,,,,He fed and gave water to his dog.,he/him,1,
1A_003,19,female,native (learned from birth),1,memory,Laura,she/her,cat,mechanic,job,Uber driver,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Laura,she/her,cat,mechanic,pet,dog,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Laura,she/her,cat,mechanic,pronoun,she/her,1,,,,
1A_003,19,female,native (learned from birth),1,production,Laura,she/her,cat,mechanic,,,,She ate dinner before crawling in bed at an early hour.,she/her,1,
1A_003,19,female,native (learned from birth),1,memory,Melissa,they/them,fish,IT,job,IT,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Melissa,they/them,fish,IT,pet,fish,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Melissa,they/them,fish,IT,pronoun,they/them,1,,,,
1A_003,19,female,native (learned from birth),1,production,Melissa,they/them,fish,IT,,,,they drank a glass of wine to relax after their long day.,they/them,1,
1A_003,19,female,native (learned from birth),1,introduction,Melissa,they/them,fish,IT,,,,,,,This is Melissa. They work in IT.
1A_003,19,female,native (learned from birth),1,memory,Stephanie,they/them,cat,nurse,job,mechanic,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Stephanie,they/them,cat,nurse,pet,dog,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Stephanie,they/them,cat,nurse,pronoun,they/them,1,,,,
1A_003,19,female,native (learned from birth),1,production,Stephanie,they/them,cat,nurse,,,,They laid in bed and watched a movie to free their mind from the stresses of work.,they/them,1,
1A_003,19,female,native (learned from birth),1,memory,Andrew,he/him,dog,teacher,job,teacher,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Andrew,he/him,dog,teacher,pet,dog,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Andrew,he/him,dog,teacher,pronoun,he/him,1,,,,
1A_003,19,female,native (learned from birth),1,production,Andrew,he/him,dog,teacher,,,,He took his dog out for a walk before coming back to create a lesson plan for the next school day.,he/him,1,
1A_003,19,female,native (learned from birth),1,introduction,Andrew,he/him,dog,teacher,,,,,,,This is Andrew. He teaches at ____ school.
