SubjID,SubjAge,SubjGender,SubjEnglish,List,Task,Name,Pronoun,Pet,Job,M_Type,M_Response,M_Acc,P_Response,P_Pronoun,P_Acc,I_Response
1B_001,18,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,job,Uber driver,0,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,pet,fish,0,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,pronoun,he/him,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Brian,he/him,cat,uber,,,,he ate fish.,he/him,1,
1B_001,18,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,job,food service,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,pet,dog,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,pronoun,he/him,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Kevin,he/him,dog,food service,,,,they laughed along with the tv.,they/them,0,
1B_001,18,female,"native (learned from birth)",2,memory,Daniel,they/them,fish,retail,job,retail,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Daniel,they/them,fish,retail,pet,fish,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Daniel,they/them,fish,retail,pronoun,they/them,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Daniel,they/them,fish,retail,,,,they tried on new clothes.,they/them,1,
1B_001,18,female,"native (learned from birth)",2,memory,Laura,they/them,dog,accountant,job,accountant,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Laura,they/them,dog,accountant,pet,dog,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Laura,they/them,dog,accountant,pronoun,they/them,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Laura,they/them,dog,accountant,,,,they went to bed.,they/them,1,
1B_001,18,female,"native (learned from birth)",2,memory,Melissa,she/her,cat,doctor,job,doctor,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Melissa,she/her,cat,doctor,pet,cat,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Melissa,she/her,cat,doctor,pronoun,she/her,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Melissa,she/her,cat,doctor,,,,she played with her cat.,she/her,1,
1B_001,18,female,"native (learned from birth)",2,memory,Stephanie,she/her,dog,sales,job,sales,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Stephanie,she/her,dog,sales,pet,cat,0,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Stephanie,she/her,dog,sales,pronoun,she/her,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Stephanie,she/her,dog,sales,,,,she called her friend.,she/her,1,
1B_001,18,female,"native (learned from birth)",2,memory,Andrew,he/him,fish,engineer,job,engineer,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Andrew,he/him,fish,engineer,pet,fish,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Andrew,he/him,fish,engineer,pronoun,he/him,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Andrew,he/him,fish,engineer,,,,he drew a cat.,he/him,1,
1B_001,18,female,"native (learned from birth)",2,memory,Emily,she/her,fish,nurse,job,nurse,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Emily,she/her,fish,nurse,pet,dog,0,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Emily,she/her,fish,nurse,pronoun,she/her,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Emily,she/her,fish,nurse,,,,she ate pasta.,she/her,1,
1B_001,18,female,"native (learned from birth)",2,introduction,Emily,she/her,fish,nurse,,,,,,,This is Emily. Emily is a nurse.
1B_001,18,female,"native (learned from birth)",2,memory,Amanda,she/her,dog,IT,job,accountant,0,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Amanda,she/her,dog,IT,pet,cat,0,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Amanda,she/her,dog,IT,pronoun,they/them,0,,,,
1B_001,18,female,"native (learned from birth)",2,production,Amanda,she/her,dog,IT,,,,she fell down the stairs.,she/her,1,
1B_001,18,female,"native (learned from birth)",2,memory,Michael,he/him,fish,mechanic,job,mechanic,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Michael,he/him,fish,mechanic,pet,fish,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Michael,he/him,fish,mechanic,pronoun,he/him,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Michael,he/him,fish,mechanic,,,,he made a list.,he/him,1,
1B_001,18,female,"native (learned from birth)",2,introduction,Michael,he/him,fish,mechanic,,,,,,,This is Michael. Michael is a mechanic.
1B_001,18,female,"native (learned from birth)",2,memory,James,they/them,cat,janitor,job,janitor,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,James,they/them,cat,janitor,pet,cat,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,James,they/them,cat,janitor,pronoun,they/them,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,James,they/them,cat,janitor,,,,he contemplated his life decisions.,he/him,0,
1B_001,18,female,"native (learned from birth)",2,memory,Jessica,they/them,cat,teacher,job,teacher,1,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Jessica,they/them,cat,teacher,pet,dog,0,,,,
1B_001,18,female,"native (learned from birth)",2,memory,Jessica,they/them,cat,teacher,pronoun,they/them,1,,,,
1B_001,18,female,"native (learned from birth)",2,production,Jessica,they/them,cat,teacher,,,,they went to bed.,they/them,1,
1B_001,18,female,"native (learned from birth)",2,introduction,Jessica,they/them,cat,teacher,,,,,,,This is Jessica. They are a teacher.
1B_002,18,female,"native (learned from birth)",3,memory,Brian,they/them,dog,mechanic,job,mechanic,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Brian,they/them,dog,mechanic,pet,dog,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Brian,they/them,dog,mechanic,pronoun,he/him,0,,,,
1B_002,18,female,"native (learned from birth)",3,production,Brian,they/them,dog,mechanic,,,,he made dinner,he/him,0,
1B_002,18,female,"native (learned from birth)",3,introduction,Brian,they/them,dog,mechanic,,,,,,,Hi this is Brian they're a mechanic
1B_002,18,female,"native (learned from birth)",3,memory,Kevin,he/him,fish,doctor,job,food service,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Kevin,he/him,fish,doctor,pet,cat,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Kevin,he/him,fish,doctor,pronoun,they/them,0,,,,
1B_002,18,female,"native (learned from birth)",3,production,Kevin,he/him,fish,doctor,,,,he fed his fish,he/him,1,
1B_002,18,female,"native (learned from birth)",3,introduction,Kevin,he/him,fish,doctor,,,,,,,Hi this is Kevin he's a doctor
1B_002,18,female,"native (learned from birth)",3,memory,Daniel,he/him,cat,IT,job,nurse,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Daniel,he/him,cat,IT,pet,cat,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Daniel,he/him,cat,IT,pronoun,they/them,0,,,,
1B_002,18,female,"native (learned from birth)",3,production,Daniel,he/him,cat,IT,,,,he watched TV,he/him,1,
1B_002,18,female,"native (learned from birth)",3,memory,Laura,she/her,cat,accountant,job,engineer,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Laura,she/her,cat,accountant,pet,dog,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Laura,she/her,cat,accountant,pronoun,she/her,1,,,,
1B_002,18,female,"native (learned from birth)",3,production,Laura,she/her,cat,accountant,,,,she made dinner,she/her,1,
1B_002,18,female,"native (learned from birth)",3,memory,Melissa,she/her,dog,retail,job,teacher,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Melissa,she/her,dog,retail,pet,fish,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Melissa,she/her,dog,retail,pronoun,she/her,1,,,,
1B_002,18,female,"native (learned from birth)",3,production,Melissa,she/her,dog,retail,,,,she sat down,she/her,1,
1B_002,18,female,"native (learned from birth)",3,memory,Stephanie,she/her,fish,janitor,job,Uber driver,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Stephanie,she/her,fish,janitor,pet,fish,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Stephanie,she/her,fish,janitor,pronoun,they/them,0,,,,
1B_002,18,female,"native (learned from birth)",3,production,Stephanie,she/her,fish,janitor,,,,they took a shower,they/them,0,
1B_002,18,female,"native (learned from birth)",3,introduction,Stephanie,she/her,fish,janitor,,,,,,,Hi this is Stephanie they're an Uber driver
1B_002,18,female,"native (learned from birth)",3,memory,Andrew,they/them,cat,food service,job,food service,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Andrew,they/them,cat,food service,pet,fish,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Andrew,they/them,cat,food service,pronoun,they/them,1,,,,
1B_002,18,female,"native (learned from birth)",3,production,Andrew,they/them,cat,food service,,,,they pet their cat,they/them,1,
1B_002,18,female,"native (learned from birth)",3,memory,Emily,they/them,fish,uber,job,sales,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Emily,they/them,fish,uber,pet,cat,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Emily,they/them,fish,uber,pronoun,she/her,0,,,,
1B_002,18,female,"native (learned from birth)",3,production,Emily,they/them,fish,uber,,,,she took a nap,she/her,0,
1B_002,18,female,"native (learned from birth)",3,memory,Amanda,they/them,dog,engineer,job,accountant,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Amanda,they/them,dog,engineer,pet,dog,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Amanda,they/them,dog,engineer,pronoun,they/them,1,,,,
1B_002,18,female,"native (learned from birth)",3,production,Amanda,they/them,dog,engineer,,,,they called their friend,they/them,1,
1B_002,18,female,"native (learned from birth)",3,memory,Michael,he/him,cat,sales,job,doctor,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Michael,he/him,cat,sales,pet,fish,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Michael,he/him,cat,sales,pronoun,he/him,1,,,,
1B_002,18,female,"native (learned from birth)",3,production,Michael,he/him,cat,sales,,,,they played with their cat,they/them,0,
1B_002,18,female,"native (learned from birth)",3,memory,James,he/him,dog,nurse,job,IT,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,James,he/him,dog,nurse,pet,dog,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,James,he/him,dog,nurse,pronoun,he/him,1,,,,
1B_002,18,female,"native (learned from birth)",3,production,James,he/him,dog,nurse,,,,he cooked dinner,he/him,1,
1B_002,18,female,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,job,janitor,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,pet,fish,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,pronoun,she/her,1,,,,
1B_002,18,female,"native (learned from birth)",3,production,Jessica,she/her,fish,teacher,,,,she fed her fish,she/her,1,
1B_003,21,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,job,Uber driver,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,pet,cat,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,pronoun,he/him,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Brian,he/him,cat,uber,,,,he pet his cat.,he/him,1,
1B_003,21,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,job,mechanic,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,pet,dog,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,pronoun,he/him,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Kevin,he/him,dog,food service,,,,he pet his dog.,he/him,1,
1B_003,21,female,"native (learned from birth)",2,memory,Daniel,they/them,fish,retail,job,janitor,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Daniel,they/them,fish,retail,pet,fish,1,,,,
