Participant,Age,English,Gender,Condition,List,PSA,Biography,Name,Job,Pet,Pronoun,M_Type,M_Response,M_Acc,P_Text,P_Response,P_Acc
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,pet,dog,1,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,pronoun,he/him,1,they graded papers,they/them,0
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Jessica,food service,fish,she/her,job,mechanic,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,job,janitor,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Jessica,food service,fish,she/her,pronoun,she/her,1,She took a shower,she/her,1
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Amanda,engineer,cat,she/her,job,IT,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Amanda,engineer,cat,she/her,pet,fish,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Jessica,food service,fish,she/her,pet,cat,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,job,engineer,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,pet,dog,1,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,pronoun,he/him,1,he took his dog for a walk,he/him,1
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Michael,salesperson,fish,they/them,job,accountant,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Michael,salesperson,fish,they/them,pet,dog,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Michael,salesperson,fish,they/them,pronoun,they/them,1,they took a hot bath.,they/them,1
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Laura,mechanic,cat,she/her,job,Uber driver,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Laura,mechanic,cat,she/her,pet,dog,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Laura,mechanic,cat,she/her,pronoun,she/her,1,she had a glass of wine,she/her,1
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,job,food service,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,pet,cat,0,NA,NA,NA
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,pronoun,they/them,0,they made dinner,they/them,0
2_001,53,"native (learned from birth)",male,both,both_1,1,1,Brian,accountant,fish,he/him,job,Uber driver,0,NA,NA,NA
