ParticipantID,Image,Image_Title,Prompt,Response,Pronoun,SubjAge,SubjEnglish,SubjGender,List
N_001,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,he sat down to read a magazine.,he/him,49,Native (learned from birth),woman,1
N_001,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,she watched t.v.,she/her,49,Native (learned from birth),woman,1
N_001,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,she began to sing to the music.,she/her,49,Native (learned from birth),woman,1
N_001,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,she smoked a cigarette.,she/her,49,Native (learned from birth),woman,1
N_001,gs05.png,A transgender woman sitting with an altar,This person made a mug of tea. Before it cooled...,she checked her instagram.,she/her,49,Native (learned from birth),woman,1
N_001,gs06.png,A transmasculine gender-nonconforming person sitting on a bed,This person got out of the pool. After drying off...,she relaxed on the lounge chair and soaked up the rays.,she/her,49,Native (learned from birth),woman,1
N_001,gs07.png,A transmasculine person in a winter coat on the sidewalk,This person received a text. After reading it...,she replied to the message. ,she/her,49,Native (learned from birth),woman,1
N_001,gs08.png,A genderqueer person sitting on a therapist's couch listening,This person ordered pizza. Before it arrived...,he cleaned his apartment some. ,he/him,49,Native (learned from birth),woman,1
N_001,gs09.png,Two non-binary friends playing video games (left),This person collected the trash. After taking it out...,he wrote his grocery list. ,he/him,49,Native (learned from birth),woman,1
N_001,gs10.png,A non-binary femme student talking to a friend in front of their locker (right),This person went on a run at the local park. Before finishing...,she stopped to drink some water. ,she/her,49,Native (learned from birth),woman,1
N_001,gs11.png,A transmasculine doctor in front of his computer,This person painted the room. While the walls dried...,he checked his email. ,he/him,49,Native (learned from birth),woman,1
N_001,gs12.png,Two non-binary students looking at each other in a school hallway photoshopped (left),This person played with the cat. After watching it chase the laser pointer...,she took a snapchat. ,she/her,49,Native (learned from birth),woman,1
N_002,gs01.png,A group of friends of varying genders gossiping (second from left),This person woke up early to walk the dog. After making coffee...,they dressed and put on tennis shoes.,they/them,26,Native (learned from birth),woman,1
N_002,gs02.png,A group of friends of varying genders playing with popcorn at a party (left),This person got home from work and cooked dinner. After washing the dishes...,they watched TV.,they/them,26,Native (learned from birth),woman,1
N_002,gs03.png,A transfeminine non-binary person and transmasculine gender-nonconforming person looking at a phone and laughing (left),This person chose a playlist for the drive. After turning up the volume...,they sang along to their favorite songs.,they/them,26,Native (learned from birth),woman,1
N_002,gs04.png,A transgender woman sitting on a therapist's couch and smiling,This person went to see a show. During the intermission...,they bought a tv from the vender's stand.,they/them,26,Native (learned from birth),woman,1
