ParticipantID,Condition,Age,LGBQ,TGD,Rating_Generic,Rating_Name,Sharing,UseThey,GenderBeliefs
3_001,both,53,0,0,4,1,9,1,41
3_002,nametag,21,1,0,6.666666667,7,16,3,0
3_003,nametag,43,0,0,5.666666667,6.333333333,4,2,12
3_004,nametag,50,0,0,5.666666667,4,6,1,22
3_005,intro,37,0,0,6.333333333,1.333333333,4,2,19
3_006,intro,35,1,0,6,6,17,3,0
3_007,intro,32,0,0,4.666666667,5.333333333,9,2,15
3_008,intro,48,0,0,5.666666667,3,9,2,8
3_009,intro,55,0,0,5.333333333,3,2,3,29
3_010,intro,25,0,0,7,5.333333333,10,3,6
3_011,neither,39,0,0,6.666666667,7,0,2,6
3_012,both,27,0,0,5.333333333,3.333333333,4,1,41
3_013,both,43,0,0,4.333333333,3,9,3,40
3_014,both,61,0,0,4.666666667,4.333333333,0,3,5
3_015,neither,21,0,0,7,1,8,2,39
3_016,both,31,0,0,5,6.666666667,2,1,15
3_018,both,25,0,0,5,3.333333333,8,2,4
3_019,both,29,1,1,4.666666667,5.666666667,17,3,0
3_020,nametag,31,0,0,6,2.666666667,8,3,11
3_021,nametag,24,0,0,6.333333333,7,18,3,1
3_022,nametag,50,0,0,5.666666667,4.666666667,2,1,35
3_023,both,24,1,1,6.666666667,7,16,3,1
3_024,nametag,31,0,0,5.333333333,5,2,1,4
3_025,nametag,31,0,0,4.666666667,2,5,1,32
3_026,both,28,0,0,5.666666667,5.666666667,15,2,13
3_027,intro,30,0,0,6.666666667,1,1,1,48
3_028,intro,40,0,0,6,7,8,3,28
3_029,intro,22,0,0,6,7,16,3,2
3_030,both,24,0,0,5,3.666666667,4,2,41
3_031,nametag,25,0,0,6,4.666666667,7,1,51
3_032,intro,36,1,0,6.666666667,6.666666667,1,1,1
3_033,neither,26,0,0,3,4,4,2,8
3_034,intro,42,0,0,6.666666667,3,7,1,18
3_035,intro,38,0,0,5.666666667,1.666666667,12,3,25
3_036,both,29,0,0,6.333333333,3,2,2,8
3_037,neither,24,0,0,6,4.333333333,2,2,31
3_038,both,40,0,0,7,7,2,1,22
3_039,both,26,1,0,5.666666667,6.333333333,4,3,19
3_040,both,26,0,0,7,6.333333333,9,2,1
3_041,nametag,20,0,0,4,6.666666667,17,3,14
3_042,nametag,38,0,0,5.666666667,2.333333333,5,1,19
3_043,nametag,47,0,0,6,4,12,2,4
3_044,nametag,33,0,0,7,7,6,2,13
3_045,intro,44,0,0,4,1,2,1,29
3_046,intro,56,0,0,3.666666667,3.666666667,13,2,26
3_047,intro,66,0,0,5,4.333333333,2,1,30
3_048,both,65,0,0,6.666666667,6,8,1,5
