ParticipantID,Condition,Nametag,Intro,Pronoun_Pair,T_Pronoun,C_Pronoun,T_ID,TrialID,Transcription,He,His,She,Her,They,Their,Disfluency,MultiplePronouns,PronounProduced,Accuracy
3_001,both,1,1,HS_HS,he,she,1,both_list1_critical01_he,Alex gave the chocolate to his brother. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_HS,he,she,1,both_list1_critical02_he,Alex gave the cherries to his sister. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_HS,he,she,1,both_list1_critical03_he,Alex gave the avocado to his sister. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_HS,he,she,1,both_list1_critical04_he,Alex gave the pumpkin to his brother. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_HS,he,she,1,both_list1_critical05_he,Alex gave the bread to his sister. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_T,he,they,1,both_list1_critical06_he,Alex gave the corn to his brother. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_T,he,they,1,both_list1_critical07_he,Alex gave the kiwi to his brother. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_T,he,they,1,both_list1_critical08_he,Alex gave the grapes to his sister. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_T,he,they,1,both_list1_critical09_he,Alex gave the pear to his sister. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_T,he,they,1,both_list1_critical10_he,Alex gave the orange juice to his brother. ,0,1,0,0,0,0,0,0,his,1
3_001,both,1,1,HS_HS,she,he,2,both_list1_critical11_she,Sam gave the spoon to her sister. ,0,0,0,1,0,0,0,0,her,1
3_001,both,1,1,HS_HS,she,he,2,both_list1_critical12_she,Sam gave the broccoli to her brother. ,0,0,0,1,0,0,0,0,her,1
3_001,both,1,1,HS_HS,she,he,2,both_list1_critical13_she,Sam gave the egg to her brother. ,0,0,0,1,0,0,0,0,her,1
3_001,both,1,1,HS_HS,she,he,2,both_list1_critical14_she,Sam gave the strawberry to her sister. ,0,0,0,1,0,0,0,0,her,1
3_001,both,1,1,HS_HS,she,he,2,both_list1_critical15_she,Sam gave the pineapple to her brother. ,0,0,0,1,0,0,0,0,her,1
3_001,both,1,1,HS_T,she,they,2,both_list1_critical16_she,Sam gave the banana to her sister. ,0,0,0,1,0,0,0,0,her,1
3_001,both,1,1,HS_T,she,they,2,both_list1_critical17_she,Sam gave the bacon to her sister. ,0,0,0,1,0,0,0,0,her,1
