ParticipantID,TrialType,TrialID,Pronoun_Pair,T_Pronoun,C_Pronoun,Match_Num,Match_Start,Match_End,Match_RT,IsOutlier
4_001,PR,L01_PR05_S23,They|HeShe,they/them,he/him,1,331082.3152,356604,25521.68481,FALSE
4_001,PR,L01_PR03_S03,HeShe|SheHe,she/her,he/him,1,368057.4354,377535,9477.564626,FALSE
4_001,PR,L01_PR04_S18,HeShe|SheHe,she/her,he/him,0,388499.6735,395005,6505.326531,FALSE
4_001,PR,L01_PR01_S17,HeShe|SheHe,he/him,she/her,1,406050.8549,411122,5071.145125,FALSE
4_001,PR,L01_PR06_S43,They|HeShe,they/them,she/her,0,421286.4558,428154,6867.544218,FALSE
4_001,PR,L01_PR02_S31,HeShe|They,he/him,they/them,0,439114.4218,461503,22388.57823,FALSE
4_001,CR,L01_CR35_S14,HeShe|SheHe,she/her,he/him,1,471446.9955,474696,3249.004535,FALSE
4_001,CR,L01_CR87_S54,They|HeShe,they/them,she/her,1,484233.7664,491650,7416.23356,FALSE
4_001,CR,L01_CR15_S27,HeShe|SheHe,he/him,she/her,1,502073.9546,506585,4511.045351,FALSE
4_001,CR,L01_CR43_S19,HeShe|SheHe,she/her,he/him,1,517627.7846,520241,2613.21542,FALSE
4_001,CR,L01_CR51_S37,HeShe|They,she/her,they/them,1,530160.3333,536389,6228.666667,FALSE
4_001,CR,L01_CR57_S55,HeShe|They,she/her,they/them,1,546524.3651,551768,5243.634921,FALSE
4_001,CR,L01_CR59_S52,HeShe|They,she/her,they/them,1,561386.2834,564918,3531.716553,FALSE
4_001,CR,L01_CR48_S29,HeShe|SheHe,she/her,he/him,1,576433.7256,580050,3616.274376,FALSE
4_001,CR,L01_CR13_S26,HeShe|SheHe,he/him,she/her,1,590823.6961,593266,2442.303855,FALSE
4_001,FD,L01_FD04_S46,HeShe|They,he/him,they/them,0,603129.0862,608712,5582.913832,FALSE
4_001,CR,L01_CR91_S44,They|HeShe,they/them,she/her,1,618893.4512,623095,4201.548753,FALSE
4_001,CR,L01_CR11_S05,HeShe|SheHe,he/him,she/her,1,632577.4921,635484,2906.507937,FALSE
4_001,CR,L01_CR14_S30,HeShe|SheHe,he/him,she/her,1,646393.5351,650259,3865.464853,FALSE
4_001,CR,L01_CR03_S12,HeShe|SheHe,he/him,she/her,1,661920.7755,669691,7770.22449,FALSE
4_001,CR,L01_CR42_S18,HeShe|SheHe,she/her,he/him,1,680064.6735,697652,17587.32653,FALSE
4_001,FP,L01_FP05_S38,They|HeShe,they/them,she/her,1,707670.3311,711633,3962.668934,FALSE
4_001,CR,L01_CR63_S57,HeShe|They,she/her,they/them,1,722353.7347,726080,3726.265306,FALSE
4_001,FD,L01_FD06_S42,HeShe|They,she/her,they/them,0,736051.1156,737925,1873.884354,FALSE
4_001,CR,L01_CR92_S44,They|HeShe,they/them,she/her,1,748341.4512,751598,3256.548753,FALSE
4_001,CR,L01_CR25_S35,HeShe|They,he/him,they/them,1,761343.6463,775284,13940.35374,FALSE
4_001,CR,L01_CR46_S30,HeShe|SheHe,she/her,he/him,1,786110.5351,788875,2764.464853,FALSE
4_001,FP,L01_FP06_S33,They|HeShe,they/them,he/him,0,798939.576,803985,5045.424036,FALSE
4_001,CR,L01_CR67_S24,They|HeShe,they/them,he/him,0,813983.3356,821180,7196.664399,FALSE
4_001,CR,L01_CR26_S31,HeShe|They,he/him,they/them,1,831944.4218,835294,3349.578231,FALSE
4_001,FP,L01_FP08_S08,They|HeShe,they/them,he/him,1,845090.4762,852906,7815.52381,FALSE
