"group","condition","char_set","trial_type","trial_id","target_pronoun","target_id","target_image","target_name","target_file","distractor_pronoun","distractor_id","distractor_image","distractor_name","distractor_file","object_image","target_x","distractor_x","object_x","object_y2","object_y3","object_y4","sibling_image","sibling_pos","top_left","top_right","bottom_left","bottom_right","correct_description","audio"
"1","both","1","example","both_list1_example1","he","1","HT1","alex","HT1_he_alex_nametag.png","she","2","ST1","sam","ST1_she_sam_nametag.png","fork.png",275,525,175,250,300,350,"HT1_brother_alex.png","bottom left","HT1_sister_alex.png","ST1_brother_sam.png","HT1_brother_alex.png","ST1_sister_sam.png","Alex gave the fork to his brother.","example_alex-fork-his-brother.mp3"
"1","both","1","example","both_list1_example2","she","2","ST1","sam","ST1_she_sam_nametag.png","they","3","HT3","taylor","HT3_they_taylor_nametag.png","pepper.png",525,275,725,250,300,350,"ST1_sister_sam.png","bottom right","HT3_brother_taylor.png","ST1_brother_sam.png","HT3_sister_taylor.png","ST1_sister_sam.png","Sam gave the pepper to her sister.","example_sam-pepper-her-sister.mp3"
"1","both","1","example","both_list1_example3","they","3","HT3","taylor","HT3_they_taylor_nametag.png","he","1","HT1","alex","HT1_he_alex_nametag.png","peach.png",525,275,725,150,100,50,"HT3_brother_taylor.png","top right","HT1_brother_alex.png","HT3_brother_taylor.png","HT1_sister_alex.png","HT3_sister_taylor.png","Taylor gave the peach to their brother.","example_taylor-peach-their-brother.mp3"
"2","both","2","example","both_list2_example1","he","4","HT1","jordan","HT1_he_jordan_nametag.png","she","5","ST2","casey","ST2_she_casey_nametag.png","fork.png",275,525,175,250,300,350,"HT1_brother_jordan.png","bottom left","HT1_sister_jordan.png","ST2_brother_casey.png","HT1_brother_jordan.png","ST2_sister_casey.png","Jordan gave the fork to his brother.","example_jordan-fork-his-brother.mp3"
"2","both","2","example","both_list2_example2","she","5","ST2","casey","ST2_she_casey_nametag.png","they","6","ST3","jaime","ST3_they_jaime_nametag.png","pepper.png",525,275,725,250,300,350,"ST2_sister_casey.png","bottom right","ST3_brother_jaime.png","ST2_brother_casey.png","ST3_sister_jaime.png","ST2_sister_casey.png","Casey gave the pepper to her sister.","example_casey-pepper-her-sister.mp3"
"2","both","2","example","both_list2_example3","they","6","ST3","jaime","ST3_they_jaime_nametag.png","he","4","HT1","jordan","HT1_he_jordan_nametag.png","peach.png",525,275,725,150,100,50,"ST3_brother_jaime.png","top right","HT1_brother_jordan.png","ST3_brother_jaime.png","HT1_sister_jordan.png","ST3_sister_jaime.png","Jaime gave the peach to their brother.","example_jaime-peach-their-brother.mp3"
"3","both","3","example","both_list3_example1","he","7","HT3","jaime","HT3_he_jaime_nametag.png","she","8","ST3","alex","ST3_she_alex_nametag.png","fork.png",275,525,175,250,300,350,"HT3_brother_jaime.png","bottom left","HT3_sister_jaime.png","ST3_brother_alex.png","HT3_brother_jaime.png","ST3_sister_alex.png","Jaime gave the fork to his brother.","example_jaime-fork-his-brother.mp3"
"3","both","3","example","both_list3_example2","she","8","ST3","alex","ST3_she_alex_nametag.png","they","9","HT1","casey","HT1_they_casey_nametag.png","pepper.png",525,275,725,250,300,350,"ST3_sister_alex.png","bottom right","HT1_brother_casey.png","ST3_brother_alex.png","HT1_sister_casey.png","ST3_sister_alex.png","Alex gave the pepper to her sister.","example_alex-pepper-her-sister.mp3"
"3","both","3","example","both_list3_example3","they","9","HT1","casey","HT1_they_casey_nametag.png","he","7","HT3","jaime","HT3_he_jaime_nametag.png","peach.png",525,275,725,150,100,50,"HT1_brother_casey.png","top right","HT3_brother_jaime.png","HT1_brother_casey.png","HT3_sister_jaime.png","HT1_sister_casey.png","Casey gave the peach to their brother.","example_casey-peach-their-brother.mp3"
"4","both","4","example","both_list4_example1","he","10","HT2","taylor","HT2_he_taylor_nametag.png","she","11","ST1","jordan","ST1_she_jordan_nametag.png","fork.png",275,525,175,250,300,350,"HT2_brother_taylor.png","bottom left","HT2_sister_taylor.png","ST1_brother_jordan.png","HT2_brother_taylor.png","ST1_sister_jordan.png","Taylor gave the fork to his brother.","example_taylor-fork-his-brother.mp3"
