Score,Color,Spectral
0,#5e4fa2,purple
1,#545aaa,
2,#4a64b1,
3,#406eb6,
4,#3777b9,
5,#3280bc,
6,#3288bd,blue
7,#0796c0,
8,#00a3bd,
9,#1caeb7,
10,#44b9af,
11,#66c2a5,teal
12,#74c8a4,
13,#82cda4,
14,#8fd3a4,
15,#9dd8a4,
16,#abdda4,green
17,#b5e2a2,
18,#c0e79f,
19,#ccec9d,
20,#d9f19a,
21,#e6f598,yellowgreen
22,#ecf7a0,
23,#f1f9a7,
24,#f6fbaf,
25,#fbfdb7,
26,#ffffbf,yellow
27,#fef9b4,
28,#fef3aa,
29,#fded9f,
30,#fee795,
31,#fee08b,lightorange
32,#fed681,
33,#fecd78,
34,#fec36f,
35,#fdb868,
36,#fdae61,orange
37,#fca45a,
38,#fb9a54,
39,#f98f4e,
40,#f88449,
41,#f67946,
42,#f46d43,redorange
43,#f06545,
44,#eb5d47,
45,#e65549,
46,#e14d4b,
47,#db464d,
48,#d53e4f,red
49,#cc364d,
50,#c32d4b,
51,#ba2449,
52,#b11b47,
53,#a71044,
54,#9e0142,darkred
